id_picture,id_treatment,date,area_size,growth_description,contamination_area,reproductive_structures,comments
295,85,2025-09-18T00:00:00Z,0.785,0,0,0,
296,85,2025-09-25T00:00:00Z,0.785,0,0,0,
297,86,2025-09-11T00:00:00Z,0.755,0,0,0,
298,86,2025-09-18T00:00:00Z,0.755,0,13.81,0,
299,86,2025-09-25T00:00:00Z,0.755,0,40.014,0,
300,87,2025-09-11T00:00:00Z,0.708,0,0,0,
301,87,2025-09-18T00:00:00Z,0.708,0,0,0,
302,87,2025-09-25T00:00:00Z,0.708,0,0,0,
303,88,2025-09-11T00:00:00Z,0.741,0,0,0,
304,88,2025-09-18T00:00:00Z,4.318,5,0,0,
305,88,2025-09-25T00:00:00Z,41.529,5,0,0,
306,89,2025-09-11T00:00:00Z,0.824,0,0,0,
307,89,2025-09-18T00:00:00Z,7.263,5,0,0,
308,89,2025-09-25T00:00:00Z,54.795,5,0,0,
309,90,2025-09-11T00:00:00Z,0.785,0,0,0,
310,90,2025-09-18T00:00:00Z,5.115,5,0,0,
311,90,2025-09-25T00:00:00Z,46.054,5,0,0,
312,91,2025-09-11T00:00:00Z,0.76,0,0,0,
313,91,2025-09-18T00:00:00Z,5.642,5,0,0,
314,91,2025-09-25T00:00:00Z,27.131,5,0,0,
315,92,2025-09-11T00:00:00Z,0.761,0,0,0,
316,92,2025-09-18T00:00:00Z,4.4,5,0,0,
317,92,2025-09-25T00:00:00Z,37.633,5,0,0,
318,93,2025-09-11T00:00:00Z,0.839,0,0,0,
319,93,2025-09-18T00:00:00Z,2.422,5,63.62,0,
320,93,2025-09-25T00:00:00Z,2.524,5,63.62,0,
321,94,2025-09-11T00:00:00Z,0.704,0,0,0,
322,94,2025-09-18T00:00:00Z,1.894,5,63.62,0,
323,94,2025-09-25T00:00:00Z,1.92,4,63.62,0,
324,95,2025-09-11T00:00:00Z,0.699,0,0,0,
325,95,2025-09-18T00:00:00Z,2.272,5,0,0,
326,95,2025-09-25T00:00:00Z,17.191,5,0,0,
327,96,2025-09-11T00:00:00Z,0.64,0,0,0,
328,96,2025-09-18T00:00:00Z,0.64,0,63.62,0,
